CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10984,123.9,0.47,154.24,92.23,29.97,95.74,0.13,0.22,0.42,0.01,1,3,500.0,119.78,36.26,0.17,12
C10985,2759.43,0.24,21.64,7.86,9.02,2666.18,0.31,0.8,0.46,0.42,1,50,6847.77,1590.23,460.04,0.13,11
C10986,289.17,0.66,88.36,32.53,14.24,276.95,0.72,0.97,0.36,0.12,9,3,875.29,225.68,14.99,0.01,10
C10987,468.36,0.34,20.96,11.09,3.28,0.0,0.65,0.05,0.37,0.13,13,58,1605.45,538.06,44.67,0.3,12
C10988,538.69,0.77,106.03,50.07,28.77,59.43,0.38,0.37,0.79,0.11,10,40,2393.85,407.33,85.92,0.04,10
C10989,3894.32,0.23,2226.65,766.99,511.69,223.29,0.93,0.72,0.03,0.14,14,12,9430.61,2002.55,866.47,0.15,10
C10990,1679.82,0.25,0.0,0.0,0.0,58.24,0.79,1.0,0.49,0.13,16,54,2842.75,1693.08,330.31,0.38,12
C10991,5280.04,0.43,3537.33,2050.17,1491.31,163.16,0.61,0.36,0.27,0.16,5,18,7339.19,5181.39,1420.47,0.1,8
C10992,4337.97,0.55,3444.68,1159.58,1571.1,150.47,0.44,0.99,0.56,0.03,10,7,9588.89,3930.66,504.92,0.13,7
C10993,237.42,0.75,40.61,12.97,6.27,198.95,0.06,0.9,0.22,0.03,1,16,1091.61,179.01,43.92,0.17,12
C10994,3090.94,0.75,102.22,46.15,39.41,1371.46,0.41,0.72,0.35,0.68,2,51,4227.43,2243.92,266.02,0.0,11
C10995,1883.96,0.98,765.81,423.63,261.69,126.65,0.55,0.38,0.53,0.19,14,55,3185.42,1244.69,398.1,0.67,12
C10996,1940.34,0.48,774.31,509.05,108.17,0.0,0.99,0.54,0.74,0.07,17,55,4674.94,1773.91,466.82,0.79,12
C10997,97.42,0.25,68.69,32.55,28.68,43.97,0.95,0.72,0.95,0.06,11,35,731.5,116.64,17.37,0.22,12
C10998,1224.63,0.89,106.4,35.5,46.98,1062.36,0.11,0.69,0.24,0.44,14,11,3838.92,1283.9,198.43,0.2,6
C10999,376.36,0.78,93.82,59.68,43.68,0.0,0.98,0.29,0.48,0.1,19,55,1188.6,360.7,36.31,0.3,11
C11000,49.31,0.25,14.34,5.02,6.82,139.74,0.75,0.56,0.35,0.18,1,31,1494.33,44.32,13.98,0.01,12
C11001,1064.87,0.27,1239.52,687.88,177.41,0.0,0.68,0.84,0.61,0.13,14,53,3592.94,1058.19,214.62,0.89,10
C11002,455.7,0.58,72.13,33.57,32.66,0.0,0.9,0.48,0.37,0.04,12,5,1799.88,387.95,115.65,0.13,7
C11003,272.99,0.47,74.65,49.56,35.69,170.95,0.33,0.57,0.1,0.17,18,14,1489.48,298.43,15.3,0.06,10
C11004,1123.56,0.68,1107.74,644.66,416.86,102.88,0.4,0.33,0.61,0.19,6,13,1569.77,1019.42,126.77,0.82,12
C11005,257.93,0.38,699.72,209.96,121.43,69.88,0.87,0.16,0.04,0.14,12,25,2875.58,173.64,44.0,0.67,12
C11006,2938.6,0.97,144.6,64.94,37.64,1948.26,0.1,0.07,0.04,0.5,16,51,4806.05,2628.02,540.87,0.15,11
C11007,287.57,0.61,100.38,37.36,13.66,0.0,0.71,0.41,0.88,0.13,9,24,2182.65,193.19,43.49,0.06,10
C11008,3410.98,0.8,4963.7,2052.06,504.8,155.47,0.81,0.63,0.87,0.15,5,36,7671.3,2984.5,458.17,0.13,12
C11009,1783.11,0.3,966.33,444.11,452.27,77.35,0.89,0.76,0.56,0.17,18,29,3248.35,1895.85,289.92,0.7,10
C11010,2720.04,0.69,4266.74,2204.0,2086.16,0.0,0.22,0.08,0.02,0.13,3,57,11156.43,2745.31,384.87,0.21,11
C11011,1777.74,0.89,1156.64,716.37,540.98,102.42,0.68,0.32,0.34,0.11,16,59,3338.11,1225.3,106.69,0.68,11
C11012,703.3,0.22,1064.0,355.98,214.49,146.5,0.09,0.81,0.35,0.04,16,52,2622.49,710.69,156.97,0.41,11
C11013,2267.21,0.63,114.0,54.31,39.72,2148.31,0.86,0.11,0.72,0.66,0,10,5253.69,1330.06,550.53,0.01,8
C11014,130.56,0.4,0.0,0.0,0.0,109.28,0.48,0.99,0.81,0.02,7,51,1196.85,124.26,16.69,0.22,12
C11015,348.4,0.58,101.73,48.11,30.36,103.05,0.62,0.63,0.35,0.15,11,46,2536.86,250.99,101.55,0.03,10
C11016,3957.36,0.85,1379.96,700.63,374.43,43.46,0.85,0.94,0.42,0.2,2,21,10913.63,3688.27,1174.27,0.12,11
C11017,3975.4,0.75,4427.15,2706.95,2109.41,104.34,0.51,0.73,0.22,0.02,2,13,8599.53,4387.46,763.84,0.25,12
C11018,124.71,0.8,76.75,44.91,31.96,158.82,0.51,0.96,0.73,0.09,6,59,1595.98,74.03,30.99,0.12,12
C11019,1777.7,0.37,437.75,220.63,192.06,182.77,0.46,0.67,0.35,0.14,18,44,2246.32,1755.54,331.33,0.44,12
C11020,2065.86,0.87,121.59,83.51,13.84,1529.72,0.6,0.27,0.71,0.62,8,15,5562.89,2021.08,238.14,0.29,11
C11021,3372.59,0.69,4581.37,1440.77,1213.05,45.99,0.72,0.8,0.71,0.09,13,12,12887.88,3473.26,227.67,0.27,6
C11022,2893.16,0.26,87.42,28.13,29.65,1973.41,0.81,0.23,0.16,0.71,12,35,6646.8,3409.62,393.78,0.03,12
C11023,1987.69,0.89,627.38,295.46,228.04,137.24,0.03,0.57,0.89,0.06,9,31,4119.93,1665.83,191.5,0.56,12
C11024,5839.73,0.24,3525.09,1280.1,1614.32,43.22,0.35,0.37,0.82,0.13,1,49,9428.82,3477.07,1638.46,0.15,11
C11025,369.18,0.22,130.84,50.58,21.82,62.85,0.43,0.8,0.58,0.12,19,40,1928.35,364.44,108.1,0.24,12
C11026,2637.07,0.87,179.26,64.54,24.38,2556.7,0.1,0.76,0.09,0.84,10,48,5957.59,2325.15,482.4,0.11,12
C11027,1021.2,0.21,1363.99,786.95,623.73,210.15,0.75,0.86,0.17,0.05,6,25,6024.78,1090.98,194.84,0.48,7
C11028,4207.43,0.27,2632.29,1233.25,796.66,0.0,0.52,0.25,0.09,0.03,8,58,9207.62,4439.22,1189.11,0.24,12
C11029,764.86,0.21,917.62,581.47,289.68,231.2,0.0,1.0,0.46,0.0,8,57,2799.52,774.94,181.17,0.73,12
C11030,1361.41,0.9,483.45,193.45,220.45,193.13,0.63,0.81,0.27,0.1,19,56,3680.0,1059.08,123.2,0.61,11
C11031,4168.43,0.24,5186.91,2849.54,2074.37,115.93,0.34,0.39,0.83,0.04,7,42,8897.46,3472.24,1200.46,0.06,12
C11032,1496.11,0.5,953.1,367.3,373.9,80.74,0.73,0.13,0.44,0.13,19,22,3336.53,1707.42,288.51,0.31,12
C11033,2153.8,0.37,94.52,28.91,16.49,1939.41,0.18,0.35,0.45,0.47,2,9,5609.57,1734.19,118.82,0.13,12
C11034,714.79,0.47,754.31,434.16,262.93,48.75,0.0,0.11,0.92,0.17,4,33,5482.33,650.9,70.8,0.81,12
C11035,988.88,0.43,998.07,357.52,279.49,85.78,0.09,0.62,0.58,0.16,2,22,3010.83,967.58,246.44,0.88,12
C11036,0.0,0.91,102.89,59.42,35.44,0.0,0.44,0.11,0.39,0.07,18,10,1471.99,0.0,0.0,0.19,12
C11037,1089.06,0.81,943.49,543.7,311.61,0.0,0.75,0.43,0.98,0.06,11,18,5021.74,1131.09,286.23,0.8,11
C11038,1213.68,0.91,1243.26,705.25,137.39,286.58,0.6,0.67,0.46,0.02,9,48,4264.24,619.54,299.27,0.33,9
C11039,301.08,0.78,90.76,48.72,21.56,105.05,0.01,0.45,0.58,0.15,1,17,1112.94,357.52,17.71,0.01,12
C11040,434.45,0.46,45.38,29.68,12.85,116.3,0.59,0.88,0.38,0.1,3,5,2239.69,390.08,57.68,0.11,9
C11041,3031.96,0.35,4978.54,1644.18,1494.0,97.54,0.48,0.24,0.67,0.07,18,12,6971.77,1872.66,535.81,0.14,12
C11042,5864.82,0.62,5332.42,3587.26,745.41,33.78,0.8,0.52,0.78,0.14,19,10,11320.28,6151.81,404.71,0.03,11
C11043,4655.56,0.49,3289.86,1073.77,1511.42,75.44,0.26,0.91,0.63,0.05,6,11,10352.07,5079.99,907.38,0.03,12
C11044,315.18,0.71,19.35,9.64,4.52,107.3,0.72,0.35,0.25,0.1,14,25,824.25,202.77,93.0,0.08,12
C11045,315.49,0.23,68.81,46.06,20.35,84.27,0.63,0.47,0.94,0.09,6,52,974.95,166.86,63.11,0.15,10
C11046,132.28,0.77,79.61,32.45,29.1,39.82,0.62,0.93,0.51,0.05,19,22,1336.73,114.7,22.94,0.3,10
C11047,5572.9,0.44,3743.73,2377.88,1451.19,138.36,0.41,0.5,0.83,0.16,2,59,6994.53,5285.32,1486.36,0.27,11
C11048,2799.94,0.57,185.21,99.51,46.53,1893.2,0.01,0.86,0.01,0.6,1,52,4710.76,1729.76,814.76,0.12,12
C11049,478.03,0.98,41.95,27.04,6.36,131.43,0.19,0.94,0.52,0.1,7,9,1055.97,426.94,131.6,0.17,12
C11050,3629.98,0.37,2706.94,864.67,495.17,156.4,0.84,0.26,0.94,0.14,3,36,7943.85,3152.54,215.04,0.17,12
C11051,372.59,0.29,64.98,33.95,10.79,86.36,0.62,0.79,0.69,0.02,13,47,1032.08,411.53,27.91,0.1,11
C11052,204.76,0.37,61.49,23.09,12.15,86.49,0.58,0.65,0.11,0.09,18,42,1616.07,219.31,41.74,0.26,12
C11053,0.0,0.48,114.53,35.19,39.11,218.6,0.53,0.99,0.71,0.12,19,13,1746.02,0.0,0.0,0.09,10
C11054,47.33,0.63,64.78,37.29,20.36,24.48,0.08,0.59,0.02,0.08,19,42,1146.46,47.09,8.53,0.13,12
C11055,5887.82,0.98,3876.3,2325.29,649.1,0.0,0.35,0.79,0.37,0.14,3,31,9040.0,5016.46,1528.64,0.27,8
C11056,1610.33,0.9,238.57,141.84,88.89,3865.03,0.62,0.35,0.24,0.41,1,14,4677.53,1330.75,458.32,0.1,12
C11057,244.37,0.77,90.35,53.38,11.34,49.65,0.13,0.61,0.25,0.08,3,11,1517.58,149.96,32.6,0.15,11
C11058,1042.68,0.78,1042.38,646.25,483.5,13.81,0.92,0.78,0.04,0.08,15,22,3997.21,1067.03,273.37,0.83,12
C11059,4789.8,0.43,4899.11,2389.96,1599.44,170.82,0.07,0.97,0.62,0.14,2,16,8967.46,5306.41,843.01,0.1,12
C11060,2206.53,0.94,156.94,68.9,52.76,1081.98,0.68,0.25,0.74,0.31,13,32,4587.08,1420.69,473.63,0.29,12
C11061,1791.13,0.63,911.93,554.8,195.48,0.0,0.3,0.08,0.29,0.17,11,24,3969.46,932.44,145.72,0.88,12
C11062,310.74,0.33,101.01,57.23,30.77,254.8,0.86,0.98,0.59,0.01,15,7,1265.16,287.87,20.46,0.21,12
C11063,877.15,0.96,924.77,351.41,250.15,0.0,0.83,0.6,0.5,0.03,2,42,5434.78,1041.09,214.99,0.87,10
C11064,213.93,0.61,49.14,23.3,23.6,93.07,0.33,0.02,0.99,0.16,8,3,589.49,208.62,42.7,0.16,12
C11065,1956.27,0.32,40.92,15.26,5.34,1631.98,0.46,0.52,0.81,0.71,1,28,3644.26,1324.19,500.75,0.05,8
C11066,1685.89,0.79,1070.39,654.61,303.45,121.65,0.96,0.94,0.95,0.09,0,3,5335.81,1872.88,133.09,0.55,11
C11067,4321.54,0.39,2714.81,1082.81,1131.01,48.71,0.61,0.98,0.82,0.07,14,48,8321.17,3788.45,401.77,0.19,11
C11068,365.83,0.35,88.49,48.59,28.12,165.54,0.01,0.33,0.66,0.02,11,19,1623.74,313.45,24.05,0.12,12
C11069,1216.74,0.41,867.16,515.22,282.77,98.61,0.78,0.78,0.07,0.12,15,5,2572.74,657.16,258.6,0.37,12
C11070,663.08,0.66,144.74,100.83,67.23,2209.81,0.36,0.46,0.86,0.46,1,14,3496.38,359.7,135.2,0.27,11
C11071,1716.36,0.43,604.7,286.18,151.34,65.62,0.28,0.4,0.76,0.04,6,34,4254.29,1554.18,268.42,0.45,12
C11072,1278.79,0.23,1244.27,807.51,125.45,0.0,0.83,0.76,0.28,0.15,2,46,1358.49,1361.51,107.19,0.62,12
C11073,3077.32,0.51,118.65,67.13,55.8,2952.8,0.97,0.27,0.27,0.4,11,6,5250.92,3161.08,172.21,0.02,12
C11074,1179.59,0.39,166.37,50.47,18.84,1822.66,0.06,0.43,0.52,0.53,11,19,2981.13,1366.59,135.35,0.1,12
C11075,307.48,0.61,77.02,35.16,32.27,0.0,0.39,0.25,0.28,0.14,14,7,882.1,261.95,15.59,0.06,12
C11076,1872.12,0.57,775.33,354.83,120.83,15.57,0.28,0.14,0.97,0.18,1,14,4172.08,1749.51,537.65,0.46,11
C11077,1231.39,0.26,1096.03,381.25,118.67,41.03,0.9,0.38,0.19,0.16,0,18,4280.25,1156.31,113.96,0.68,12
C11078,1037.74,0.4,1180.67,560.62,285.57,224.43,0.87,0.96,0.15,0.17,17,35,2738.01,795.05,120.76,0.68,11
C11079,414.64,0.43,43.46,15.06,19.37,156.6,0.9,0.42,0.04,0.19,12,6,1888.84,208.15,103.51,0.17,8
C11080,564.5,0.59,10.89,6.9,1.25,72.18,0.04,0.68,0.55,0.17,2,36,1780.5,613.75,168.64,0.05,12
C11081,2999.13,0.86,206.25,91.73,42.3,3303.46,0.05,0.29,0.74,0.61,5,46,5382.47,1640.42,615.23,0.03,11
C11082,1960.19,0.37,377.91,141.05,79.97,1242.3,0.55,0.87,0.59,0.84,8,56,4017.46,2296.33,222.15,0.21,7
C11083,3332.12,0.33,3392.01,1834.16,467.84,54.81,0.17,0.62,0.21,0.15,8,30,10827.73,3634.33,543.9,0.07,10
C11084,1713.1,0.2,160.68,103.32,22.02,1528.81,0.11,0.95,0.92,0.79,14,29,6465.26,981.01,111.2,0.14,11
C11085,5007.76,0.69,2547.0,1716.6,1179.95,113.23,0.26,0.33,0.38,0.19,7,38,9606.78,2931.65,386.87,0.25,10
C11086,3904.78,0.46,3780.96,2486.79,1429.65,56.85,0.71,0.54,0.14,0.14,11,59,8376.49,3967.19,887.94,0.11,9
C11087,3288.16,0.74,4362.03,2847.62,979.08,96.94,0.67,0.19,0.19,0.05,14,3,10082.99,2895.44,846.28,0.03,10
C11088,2007.31,0.75,696.75,306.03,136.09,127.05,0.79,0.14,0.44,0.03,2,10,3138.2,1915.45,235.93,0.56,12
C11089,1029.89,0.24,651.43,327.13,76.32,99.25,0.06,0.59,0.54,0.06,9,13,4168.74,723.98,241.61,0.41,9
C11090,272.05,0.53,28.22,12.66,6.87,168.88,0.77,0.8,0.6,0.1,5,11,1648.78,304.31,57.15,0.18,12
C11091,1428.58,0.97,1347.81,901.56,297.13,125.5,0.49,0.2,0.07,0.13,15,31,3133.23,1257.27,253.45,0.41,12
C11092,815.39,0.42,128.3,43.25,59.89,140.9,0.31,0.7,0.87,0.04,2,2,1896.58,730.45,99.73,0.23,12
C11093,362.9,0.62,56.89,29.68,10.71,237.08,0.61,0.67,0.34,0.05,6,4,1473.49,433.09,107.53,0.11,10
C11094,1598.95,0.63,1132.32,451.52,296.73,166.2,0.8,0.48,0.26,0.06,12,40,3876.08,1663.05,179.07,0.78,12
C11095,1407.63,0.41,400.94,256.66,149.47,239.28,0.1,0.77,0.69,0.16,10,9,5009.35,1382.52,143.82,0.42,8
C11096,251.21,0.82,18.62,8.11,4.25,46.25,0.81,0.59,0.61,0.07,0,19,1155.89,278.0,19.47,0.05,12
C11097,3277.17,0.2,3649.42,2355.6,1506.17,0.0,0.57,0.95,0.99,0.02,18,1,8750.68,3911.84,703.77,0.19,6
C11098,1988.5,0.38,165.6,111.16,64.67,1482.91,0.62,0.76,0.41,0.57,1,45,5215.77,2125.26,547.44,0.26,10
C11099,367.8,0.67,38.5,14.2,4.4,81.95,0.88,0.89,0.18,0.0,8,54,2350.32,391.52,30.73,0.15,8
C11100,230.52,0.93,64.46,38.78,28.51,216.75,0.71,0.36,0.97,0.13,1,41,1685.56,146.14,17.54,0.02,12
C11101,597.74,0.21,16.86,7.42,4.14,9.6,0.58,0.81,0.48,0.17,11,25,2518.01,664.3,165.04,0.2,7
C11102,3620.39,0.68,4186.98,1931.5,579.24,93.69,0.34,0.99,0.66,0.03,7,23,10916.87,4043.43,778.88,0.26,6
C11103,3462.52,0.2,2190.98,897.76,831.12,132.41,0.51,0.16,0.04,0.17,13,2,11416.1,3178.38,1011.94,0.06,9
C11104,395.87,0.7,145.23,79.39,57.93,108.01,0.84,0.51,0.34,0.14,12,15,1059.65,378.23,90.09,0.18,12
C11105,4942.76,0.53,2532.26,1107.27,325.15,86.28,1.0,0.86,0.99,0.02,18,27,7931.82,4629.59,1200.73,0.06,12
C11106,491.64,0.55,115.64,68.95,27.93,128.69,0.76,0.4,0.96,0.05,0,3,1459.16,433.36,81.33,0.25,12
C11107,1450.3,0.97,838.14,512.44,384.03,186.33,0.79,0.51,0.98,0.05,12,53,3923.66,911.32,158.92,0.9,12
C11108,2347.24,0.75,252.17,115.51,92.74,1935.49,0.7,0.75,0.82,0.31,6,37,5459.95,2254.27,451.34,0.19,12
C11109,200.23,0.36,5.65,1.71,1.77,102.62,0.77,0.82,0.5,0.07,12,11,1675.66,153.3,27.94,0.18,10
C11110,437.71,1.0,65.88,21.51,19.87,34.73,0.24,0.2,0.57,0.18,19,53,1657.76,383.24,73.29,0.11,12
C11111,1574.38,0.41,1461.19,598.39,501.72,222.76,0.42,0.39,0.07,0.04,16,14,3128.04,1780.27,281.69,0.56,12
C11112,334.37,0.75,881.01,600.45,318.23,13.79,0.56,0.39,0.79,0.19,19,39,4109.95,192.74,18.94,0.77,12
C11113,2026.11,0.74,115.95,53.05,14.79,1243.04,0.55,0.15,0.75,0.33,19,58,5369.14,2368.15,409.55,0.1,12
C11114,3353.97,0.88,289.34,172.94,67.61,1734.59,0.6,0.09,0.71,0.37,15,21,2702.75,3010.98,468.33,0.1,12
C11115,423.47,0.52,29.95,20.2,9.3,219.15,0.97,0.74,0.38,0.13,17,51,1348.78,493.29,107.15,0.2,12
C11116,0.0,0.76,62.31,27.21,24.44,154.83,0.86,0.85,0.27,0.16,13,55,1664.45,0.0,0.0,0.09,12
C11117,2743.12,0.7,3220.29,1689.09,1278.81,0.0,0.83,0.95,0.81,0.19,2,32,8497.66,1475.8,518.58,0.09,12
C11118,458.97,0.55,35.26,22.6,12.07,16.87,0.83,0.96,0.97,0.0,17,39,2031.31,429.0,64.26,0.01,9
C11119,3367.19,0.93,270.48,147.66,90.5,2654.4,0.79,0.99,0.42,0.57,13,11,5218.58,2925.43,246.9,0.03,12
C11120,3314.26,0.4,725.48,250.21,179.27,45.95,0.68,0.08,0.06,0.04,17,50,11272.74,3362.05,508.49,0.2,9
C11121,138.88,0.38,124.94,75.95,54.21,74.78,0.26,0.4,0.9,0.03,6,13,872.54,127.91,21.15,0.1,12
C11122,2619.72,0.7,3664.76,2424.74,1709.83,149.02,0.86,0.08,0.69,0.03,11,17,9176.65,2252.96,624.35,0.02,10
C11123,226.11,0.35,90.82,55.17,39.83,86.4,0.28,0.68,0.67,0.14,8,51,1426.73,255.91,19.9,0.28,11
C11124,1334.62,0.86,950.45,571.24,426.53,2.48,0.72,0.97,0.94,0.01,0,12,3612.22,969.45,343.79,0.48,12
C11125,1690.98,0.47,1581.44,952.47,733.04,170.85,0.11,0.04,0.67,0.17,12,40,3793.32,1166.91,104.8,0.84,12
C11126,1615.66,0.54,819.26,446.51,148.14,141.19,0.55,0.53,0.62,0.15,6,21,3627.2,1717.11,289.08,0.66,12
C11127,4183.57,0.75,3118.65,1244.73,952.91,80.08,0.32,0.53,0.71,0.08,2,21,9127.57,3121.55,887.97,0.25,12
C11128,3582.07,0.91,2393.18,1589.88,751.02,156.9,0.7,0.16,0.48,0.09,4,54,9540.98,3202.92,191.95,0.26,12
C11129,2997.19,0.75,222.43,78.2,65.43,1753.66,0.86,0.83,0.29,0.4,13,1,4954.61,2786.89,201.66,0.09,11
C11130,3413.31,0.28,181.13,114.28,79.59,1610.55,0.02,0.39,0.25,0.45,14,44,5337.21,2410.23,404.05,0.22,12
C11131,922.77,0.47,661.35,293.47,152.12,112.1,0.11,0.42,0.73,0.08,5,8,3737.54,691.17,134.14,0.41,11
C11132,211.56,0.8,97.45,55.5,16.03,205.91,0.93,0.96,0.24,0.04,6,48,2006.52,111.81,28.91,0.18,12
C11133,4123.26,0.93,4598.92,2860.71,964.49,0.0,0.24,0.25,0.93,0.04,16,43,11631.3,2868.45,1207.41,0.13,12
C11134,3921.26,0.71,157.18,97.36,24.72,1911.17,0.73,0.39,0.4,0.75,9,37,5627.67,2855.72,359.72,0.05,12
C11135,118.95,0.68,99.64,36.32,26.1,68.17,0.81,0.77,0.63,0.05,7,38,1382.43,60.87,32.44,0.25,7
C11136,526.05,0.5,1504.32,818.9,220.72,31.28,0.74,0.48,0.04,0.08,17,1,2141.84,566.15,150.53,0.63,12
C11137,1532.73,0.58,1213.65,468.25,163.88,192.68,0.03,0.6,0.45,0.14,0,21,3643.75,1716.27,143.92,0.42,11
C11138,32.0,0.55,45.64,15.74,12.8,171.13,0.74,0.48,0.4,0.12,13,43,1483.09,19.97,7.67,0.2,10
C11139,5460.97,0.24,3014.59,1523.65,1026.34,0.0,0.96,0.28,0.75,0.07,11,35,7837.11,5044.88,1635.82,0.13,12
C11140,1695.88,0.22,1061.67,737.87,364.21,157.24,0.37,0.16,0.06,0.01,7,11,4712.52,1372.61,189.88,0.59,10
C11141,5062.78,0.69,3700.91,2563.5,506.71,147.53,0.71,0.85,0.4,0.01,14,45,9247.83,2984.37,889.45,0.04,12
C11142,3474.81,0.61,4542.19,2404.46,2219.45,42.15,0.28,0.28,0.86,0.1,5,17,10413.19,1798.13,832.94,0.01,12
C11143,5610.6,0.4,5155.45,3139.0,766.61,33.18,1.0,1.0,0.67,0.08,12,38,8418.28,5411.34,1311.16,0.17,11
C11144,1351.9,0.91,887.98,355.08,323.39,0.0,0.21,0.01,0.78,0.16,5,38,3748.47,751.36,349.18,0.3,12
C11145,518.28,0.37,57.38,22.36,26.13,73.0,0.31,0.88,0.76,0.02,15,14,1865.52,582.4,71.04,0.04,12
C11146,3582.21,0.76,3366.14,1961.14,1527.91,85.8,0.17,0.95,0.66,0.17,8,2,7884.92,3771.21,287.17,0.01,12
C11147,4624.94,0.83,2939.24,1805.87,896.03,163.76,0.96,0.06,0.39,0.04,16,57,6246.74,4657.34,1013.35,0.23,12
C11148,1612.61,0.87,908.57,542.18,191.69,121.55,0.57,0.63,0.4,0.07,11,45,3431.75,1757.64,217.53,0.56,12
C11149,2525.59,0.87,84.51,28.89,36.44,2562.54,0.25,0.78,0.05,0.53,0,1,3954.85,1451.29,534.2,0.18,10
C11150,363.07,0.84,90.09,39.87,31.08,119.11,0.13,0.62,0.19,0.17,12,11,2345.13,340.86,61.12,0.23,12
C11151,3123.02,0.57,148.85,47.28,61.98,450.9,0.87,0.88,0.56,0.85,0,33,4871.49,2012.71,514.21,0.25,10
C11152,94.93,0.7,12.94,7.95,3.36,25.21,0.06,0.13,0.9,0.02,14,53,2053.3,82.0,25.67,0.24,8
C11153,326.27,0.89,111.63,47.41,51.95,0.0,0.64,0.95,0.61,0.12,4,13,1929.27,245.03,68.55,0.1,11
C11154,1424.51,0.54,1106.1,521.96,521.9,149.98,0.61,0.55,0.39,0.15,19,31,3199.28,834.3,293.63,0.41,11
C11155,381.7,0.74,44.79,23.81,17.69,135.71,0.77,0.34,0.83,0.05,4,42,1480.17,387.11,111.73,0.19,12
C11156,424.7,0.33,111.99,33.62,53.42,144.54,0.68,0.53,0.45,0.04,9,52,2248.39,302.09,49.88,0.28,12
C11157,371.62,0.65,29.6,13.07,8.33,41.74,0.84,0.34,0.26,0.1,11,33,1860.17,217.78,82.55,0.27,11
C11158,1274.43,0.31,436.78,258.1,77.65,113.69,0.04,0.46,0.08,0.15,2,25,2984.21,1421.75,176.99,0.41,12
C11159,4229.83,0.73,2886.9,1196.41,1046.1,0.0,0.43,0.16,0.83,0.1,4,11,10937.24,2513.55,844.83,0.27,12
C11160,169.04,0.5,0.0,0.0,0.0,21.07,0.08,0.84,0.62,0.05,19,32,1684.65,108.83,42.98,0.0,12
C11161,3466.6,0.38,3967.82,2741.24,1176.57,102.7,0.41,0.39,0.58,0.17,7,30,7175.23,1790.85,973.06,0.16,11
C11162,3877.42,0.49,2226.92,773.33,454.84,120.99,0.56,0.47,0.72,0.17,15,53,9886.96,3346.21,607.88,0.26,10
C11163,289.48,0.76,27.17,11.07,9.5,0.0,0.59,0.91,0.61,0.13,9,31,1770.58,311.98,74.69,0.12,9
C11164,176.77,0.93,21.82,12.52,3.76,15.4,0.92,0.91,0.35,0.01,4,46,1806.33,193.71,23.65,0.21,11
C11165,2619.87,0.21,138.56,74.73,55.61,1559.54,0.92,0.79,0.62,0.89,12,25,2855.78,2673.96,563.94,0.07,12
C11166,4148.41,0.33,3890.51,2689.13,1800.24,176.68,0.31,0.03,0.14,0.12,2,29,9692.3,3442.94,1117.62,0.29,12
C11167,541.69,0.76,90.63,28.44,15.1,34.95,0.7,0.91,0.3,0.16,19,2,4409.2,608.11,119.91,0.78,12
C11168,4436.89,0.65,2848.92,1855.21,1219.65,111.25,0.71,0.19,0.54,0.09,13,29,10924.4,4601.02,1004.66,0.19,12
C11169,145.52,0.46,51.92,25.72,9.31,119.63,0.96,0.44,0.07,0.06,13,12,2135.5,163.35,37.75,0.01,12
C11170,1406.57,0.72,944.39,369.03,283.48,80.02,0.08,0.9,0.82,0.18,0,19,4469.23,939.06,159.1,0.68,12
C11171,3965.85,0.89,2736.32,1371.84,1290.72,121.44,0.62,0.1,0.04,0.08,5,58,8967.63,3652.16,938.81,0.08,9
C11172,295.08,0.41,74.2,34.49,9.87,0.0,0.41,0.13,0.37,0.18,7,40,1045.68,152.0,61.79,0.0,12
C11173,3419.08,0.59,3920.91,1457.54,532.88,47.54,0.35,0.58,0.45,0.11,7,11,8532.02,2957.65,637.56,0.06,12
C11174,984.73,0.22,894.88,347.0,432.67,214.75,0.62,0.47,0.68,0.12,2,33,3760.19,1096.81,289.29,0.3,11
C11175,4534.73,0.96,2008.02,833.84,328.39,220.38,0.28,0.39,0.15,0.02,0,27,10125.24,4611.5,694.4,0.27,12
C11176,1259.18,0.84,1084.58,564.93,256.85,167.43,0.04,0.81,0.82,0.05,11,45,1965.36,1313.73,136.89,0.31,12
C11177,1123.71,0.6,1108.95,369.55,314.5,188.03,0.78,0.89,0.43,0.19,8,17,1952.07,811.28,291.96,0.37,9
C11178,395.54,0.99,26.54,8.9,2.73,0.0,0.09,0.99,0.25,0.14,4,38,2130.55,308.01,38.08,0.2,8
C11179,146.81,0.38,30.23,13.08,5.3,24.1,0.33,0.12,0.1,0.1,11,45,934.85,174.76,34.69,0.25,12
C11180,3100.06,0.8,4998.45,2913.68,2156.14,75.11,0.59,0.68,0.93,0.1,19,43,7308.54,2130.03,874.39,0.11,12
C11181,242.12,0.82,0.0,0.0,0.0,293.25,0.62,0.87,0.4,0.02,18,34,1552.14,135.67,61.84,0.05,12
C11182,284.5,0.86,109.84,33.48,28.29,74.95,0.67,0.24,0.38,0.16,17,1,1905.33,219.72,59.26,0.04,11
